Id,ClusterId,Description,Type,Language,LastUpdated,PublicationDate,CreatedDate,FirstReported,Publisher,NoDocuments,SourceUrl,SilobreakerUrl
5_2275764107699290120,16_2275764107699290113,"Nearly 300 new cases of COVID-19 confirmed in Monroe County, no new deaths",News,en,2021-04-17T22:24:00Z,2021-04-17T22:24:00Z,2021-04-17T22:25:04Z,2021-04-17T22:24:00Z,Rochesterfirst.com,1,https://www.rochesterfirst.com/coronavirus/nearly-300-new-cases-of-covid-19-confirmed-in-monroe-county-no-new-deaths/,https://my.silobreaker.com/5_2275764107699290120
5_2275818968390303830,16_2275816774735757340,"Monroe County COVID-19 data: 134 new cases, no new deaths",News,en,2021-05-10T20:45:00Z,2021-05-10T20:45:00Z,2021-05-10T20:56:46Z,2021-05-10T20:45:00Z,WXXI AM,1,https://www.wxxinews.org/post/monroe-county-covid-19-data-134-new-cases-no-new-deaths,https://my.silobreaker.com/5_2275818968390303830
5_2275818762231873888,16_2275818762231873659,"Monday's COVID-19 update: 180 new cases documented in Guilford County over the weekend, according to state data",News,en,2021-05-10T17:45:00Z,2021-05-10T17:45:00Z,2021-05-11T00:18:57Z,2021-05-10T17:45:00Z,Greensboro.com,1,https://greensboro.com/news/local/mondays-covid-19-update-180-new-cases-documented-in-guilford-county-over-the-weekend-according/article_ac89a9ee-b1b5-11eb-8034-c34f896b423b.html,https://my.silobreaker.com/5_2275818762231873888
5_2275537481166225410,16_2275537409661730828,"Florida reports 12,000 new cases of COVID-19 as state continues to distribute vaccine",News,en,2021-01-10T20:33:38Z,2021-01-10T20:33:38Z,2021-01-10T20:47:08Z,2021-01-10T20:33:38Z,Click Orlando - News Headlines - RSS,1,https://www.clickorlando.com/news/local/2021/01/10/florida-reports-12000-new-cases-of-covid-19-as-state-continues-to-vaccinate-seniors/,https://my.silobreaker.com/5_2275537481166225410
5_2275889072993992749,16_2275886930879053833,Warren County COVID update for June 10: Consecutive days with no new cases,News,en,2021-06-10T16:55:00Z,2021-06-10T16:55:00Z,2021-06-10T17:37:20Z,2021-06-10T16:55:00Z,WTen.com,1,https://www.news10.com/news/warren-county-covid-update-for-june-10-consecutive-days-with-no-new-cases/,https://my.silobreaker.com/5_2275889072993992749
5_2275798975552421888,16_2275798948473995292,"‘People Who Are Vaccinated Don’t Die’: Florida ICU Doctor Says Most Covid Deaths He Sees Are Younger, Unvaccinated",News,en,2021-05-01T17:49:14Z,2021-05-01T17:49:14Z,2021-05-01T17:52:01Z,2021-05-01T17:49:14Z,ENM News,2,https://www.enmnews.com/2021/05/01/people-who-are-vaccinated-dont-die-florida-icu-doctor-says-most-covid-deaths-he-sees-are-younger-unvaccinated/?utm_source=rss&utm_medium=rss&utm_campaign=people-who-are-vaccinated-dont-die-florida-icu-doctor-says-most-covid-deaths-he-sees-are-younger-unvaccinated,https://my.silobreaker.com/5_2275798975552421888
5_2275823254767665299,16_2275823066862845993,"COVID In Florida: 3,184 New Cases, 51 Additional Deaths Reported Wednesday",News,en,2021-05-12T19:05:00Z,2021-05-12T19:05:00Z,2021-05-12T19:36:45Z,2021-05-12T19:05:00Z,CBS Miami,1,https://miami.cbslocal.com/2021/05/12/covid-florida-3184-new-cases-51-additional-deaths-wednesday/,https://my.silobreaker.com/5_2275823254767665299
5_2275780804384653361,16_2275780804384653332,144 new cases of COVID-19 have reported in Bradford County this week,News,en,2021-04-25T09:22:00Z,2021-04-25T09:22:00Z,2021-04-25T09:23:20Z,2021-04-25T09:22:00Z,Daily and Sunday Review,1,https://www.thedailyreview.com/news/local/144-new-cases-of-covid-19-have-reported-in-bradford-county-this-week/article_7014070e-9fef-5f8b-a75f-4c8459f93d4b.html,https://my.silobreaker.com/5_2275780804384653361
5_2275772247736058477,16_2275772247736058121,One new case of COVID-19 in Columbia County,News,en,2021-04-21T12:53:00Z,2021-04-21T12:53:00Z,2021-04-21T22:00:16Z,2021-04-21T12:53:00Z,Waitsburg Times,1,https://www.waitsburgtimes.com/story/2021/04/22/news/one-new-case-of-covid-19-in-columbia-county/17663.html,https://my.silobreaker.com/5_2275772247736058477
5_2275741865607168004,16_2275741857621213185,"Florida COVID update for Wednesday: 5,885 new cases, 42 deaths as positivity bumps up",News,en,2021-04-07T18:45:28Z,2021-04-07T18:45:28Z,2021-04-08T08:45:56Z,2021-04-07T18:45:28Z,Security News Headlines - Yahoo! News,2,https://news.yahoo.com/florida-covid-wednesday-5-885-184528464.html,https://my.silobreaker.com/5_2275741865607168004
